baseline OK (fast pass, all mutants)

[ 1] killed  read_rows_2k: seed-set exact-match loosened to subset-accepted
[ 2] killed  read_rows_2k: draws_per_seed exact-match loosened to a floor (>dps silently accepted)
[ 3] killed  counts_at_k: prefix b[:k] widened to b[:k+1]
[ 4] killed  block_counts: slice start off by one (b * 64 -> b * 64 + 1)
[ 5] killed  bits_2k: seed order reversed (breaks the seed-ordered prefix every counts_at_k reads)
[ 6] killed  tallies_2k: every seed's tally reads seed 0's draws (n_draws/full_string counting only seed 0)
[ 7] killed  tier_record_failures_2k: gate1 n_diffs != 0 check removed
[ 8] killed  tier_record_failures_2k: gate1 items_compared exact-match loosened to a floor
[ 9] killed  tier_record_failures_2k: committed_sha comparison removed
[10] killed  TIER_RECORD_PINS_2K: model_sha dropped from the pinned-field tuple
[11] killed  stream_collisions: 2d's own map silently skipped
[12] killed  check_seed_freshness: the seed-0-is-2d's-main-tier assertion removed
[13] SURVIVED  matched_k_256: the cap condition >= loosened to > (a tie no longer caps at 64)
[14] killed  matched_k_256: floor(x + 0.5) rounding replaced by truncation
[15] killed  require_prereg_2k: blob-binding mismatch inverted (want == got raises instead of !=)
[16] killed  run_rung: gate-1 diff comparison inverted (g != w -> g == w)
[17] killed  run_rung: the HALTED marker is no longer written on a gate-1 fire
[18] killed  run_rung: the normal draws file is ALSO written on a halt (skip-if-exists would then treat a halted rung as done)
[19] killed  run_rung: _refuse_if_halted removed (a halted tree no longer refuses a later call)
[20] killed  run_rung: the model_sha refusal removed
[21] killed  run_rung: the per-item coverage diff (wrong draw count) no longer detected
[22] killed  verdict_tree_2k: the firing branch reports NOT-DENSITY instead of DENSITY
[23] killed  verdict_tree_2k: the structured/null annotation boundary decoupled from ALPHA (p < ALPHA -> p < 0.05, ALPHA is 0.01)
[24] killed  _licensed: the POWERED branch returns the UNDERPOWERED licence
[25] killed  load_tier_2k/_gate: the gate-1 diff check removed
