baseline OK (totality pass, [98, 115, 119, 120, 121, 122, 123, 132, 134, 136, 138, 139, 140, 141, 142, 143, 144, 145, 148, 149, 150] mutants)

[98] killed  run(): the post-secondaries import re-check does not refuse
[115] killed  run(): totality — collect_total stripped at line 798 (lambda: bi.sampler_counts_olmo(bm.R_CAP_2K, root=root_2i, ba...)
[119] killed  run(): totality — collect_total stripped at line 1053 (lambda: bm.load_manifest_3b(bm.CHECKPOINTS_PATH, sha_pin=bm....)
[120] killed  run(): totality — collect_total stripped at line 1069 (bg.load_battery...)
[121] killed  run(): totality — collect_total stripped at line 1070 (bg.load_floors...)
[122] killed  run(): totality — collect_total stripped at line 1071 (a2d.load_verify...)
[123] killed  run(): totality — collect_total stripped at line 1072 (lambda: pr.load_predictor(bg.predictor_path(bg.EXP2G), sha_p...)
[132] killed  run(): totality — collect_total stripped at line 1040 (lambda: bm.halt_marker_path(root_2m).read_text().strip()[:20...)
[134] killed  run(): totality — collect_total stripped at line 1068 (thunk...)
[136] killed  run(): totality — collect_total stripped at line 1097 (lambda: {w: bm.entry_which_3b(manifest, w) for w in bm.ENDPO...)
[138] killed  run(): totality — collect_total stripped at line 1109 (lambda: _check_rung_set_vs_endpoint_2m(rung_set, stage1_fina...)
[139] killed  run(): totality — collect_total stripped at line 1115 (lambda: _check_rung_set_endpoint_shas_2m(rung_set, root_2m)...)
[140] killed  run(): totality — collect_total stripped at line 1126 (lambda: json.loads(g1p.read_text())...)
[141] killed  run(): totality — collect_total stripped at line 1152 (_core...)
[142] killed  run(): totality — collect_total stripped at line 1154 (lambda: check_power_claims_2m(power, core[1], x_b, strata, r...)
[143] killed  run(): totality — collect_total stripped at line 1157 (check_imports_2m if imports_pinned else (lambda: None)...)
[144] killed  run(): totality — collect_total stripped at line 1269 (check_imports_2m if imports_pinned else (lambda: None)...)
[145] killed  run(): totality — collect_total stripped at line 767 (_tier...)
[148] killed  run(): totality — collect_total stripped at line 1112 (lambda: _check_rung_set_derivation_2m(rung_set, stage1_final...)
[149] killed  run(): totality — collect_total stripped at line 1129 (lambda: bm.gate1_failures_3b(gate1, stage1_final) if stage1_...)
[150] killed  run(): totality — collect_total stripped at line 1189 (thunk...)

21/21 killed; 0 survivor(s): []; 0 SKIP (target text not found, stale mutant): []
