baseline OK (fast pass, all mutants)

[ 1] killed  GRID_COMMA missing 220000
[ 2] killed  EVERY40K_SUBSET_2N with 460000 dropped (subset check must not hide it)
[ 3] killed  trained_steps_comma returns GRID_COMMA + (TWIN,) (the twin leaks into an outcome)
[ 4] killed  build_manifest_comma: duplicate refusal `step != ENDPOINT_STEP_2N and same` -> `False and ...`
[ 5] killed  build_manifest_comma: the endpoint-revision pin check removed
[ 6] SURVIVED  build_manifest_comma: main duplicate refusal removed (main's own check dropped from the loop)
[ 7] killed  build_manifest_comma: the stage2_final duplicate refusal removed (dropped from the loop)
[ 8] killed  build_manifest_comma: the twin's config_commit -> 'main'
[ 9] killed  load_manifest_comma: the frozen-grid check removed
[10] killed  entry_comma: the twin branch reads entries_comma['twin'] instead of the twin entry
[11] killed  _STAGE1_RE_2N: \d{6} -> \d+ (documented-equivalent candidate, prove or kill)
[12] killed  rung_set_from_counts_2n: r in R_CAP_2K -> r in STRATA_RUNGS
[13] killed  rung_set_from_counts_2n: R_ELEVEN_EXTRA computed without `not in R_CAP_2K`
[14] killed  rung_set_from_counts_2n: primary_is_the_nine -> True
[15] killed  rung_set_from_counts_2n: the returned dict's R_COMMA key renamed
[16] killed  endpoint_files: missing-file raise removed
[17] killed  endpoint_files: only two whichs (main's 34 records leave the composite)
[18] killed  composite_sha: unsorted
[19] killed  item_record_2n: seal_tag ENDPOINT_SEAL_TAG_2N -> PREDICTOR_TAGS_2N
[20] killed  item_record_2n: endpoint_sha256 key dropped from the record
[21] killed  item_record_2n: the dtype override removed
[22] killed  item_record_2n: the render override removed
[23] killed  item_record_2n: the eos_stop_id override removed
[24] killed  endpoint_item_record_2n: the dtype override removed
[25] killed  endpoint_item_record_2n: the render override removed
[26] killed  endpoint_item_record_2n: the eos_stop_id override removed
[27] killed  checkpoint_record_2n: generation_eos_token_id key dropped
[28] killed  twin_checkpoint_record_2n: commit None -> ''
[29] killed  gate1_failures_comma: nc.get(r) != N_ITEMS -> <
[30] killed  gate1_failures_comma: bd.get(r) != 0 removed
[31] killed  gate1_failures_comma: digest check removed
[32] killed  gate1_failures_comma: prereg_tag check removed
[33] killed  gate1_failures_comma: gate 1 does not measure digest_endpoint/commit_endpoint over the 34 records
[34] killed  gate1_rederive_comma: attested-vs-re-derived bit_diffs check removed
[35] killed  gate1_rederive_comma: coverage len(s_bits) != N_ITEMS -> <
[36] killed  gate1_rederive_comma: the re-derivation does not measure digest_sweep/commit_sweep over the 34 sweep records
[37] killed  predictor_sha_2n: the '2n|' prefix dropped (2m's composite of the same two seals)
[38] killed  require_prereg_2n: want != got -> ==
[39] killed  check_frozen_2n: drift check removed
[40] killed  clean_dir_comma: config.to_json_file line removed (2i stop #1)
[41] killed  check_tokenizer_2n: the plain-render special check removed
[42] killed  check_tokenizer_2n: the BOS-render [BOS, plain[0]] check removed
[43] killed  check_tokenizer_2n: the len(tok) check removed
[44] killed  check_tokenizer_2n: the bos_token_id/unk_token_id loop entries removed
[45] killed  load_tokenizer_comma: padding_side 'left' -> 'right'
[46] killed  render_2n: BOS_TOKEN_2N + p -> p (the prefix dropped)
[47] killed  BosRunner.generate: passes prompts unrendered
[48] killed  set_eos_stop_2n: the assignment removed
[49] killed  set_eos_stop_2n: the read-back != -> ==
[50] killed  real_loaders: runner returns the bare HFRunner (no BosRunner)
[51] killed  require_predictor_seals_2n: the 2k-seal literal check removed
[52] killed  require_predictor_seals_2n: the 2i-seal literal check removed
[53] killed  require_predictor_seals_2n: the composite re-derivation check removed
[54] killed  run: rung_set_from_counts_2n fed main's counts instead of stage1_final's
[55] killed  run: seal_tag stamped ENDPOINT_SEAL_TAG_2N instead of PREDICTOR_TAGS_2N
[56] killed  run: the stage2_final load dropped from the loop (the rung set is still written)
[57] killed  real_loaders: runner returns the bare HFRunner (no BosRunner)
[58] killed  run_gate1: the HALTED marker is no longer written on a gate-1 fire
[59] killed  run_gate1: bit_diffs comparison inverted (a != b -> a == b)
[60] killed  records_complete_comma: checkpoint-record requirement removed
[61] killed  run_step: free called with entry['commit'] instead of entry['revision']
[62] killed  run: the twin dropped from rest
[63] killed  run_twin: the checkpoint record written BEFORE the rung loop
[64] killed  run: require_endpoint_seal_2n removed from run
[65] killed  run: endpoint_sha computed BEFORE the endpoint seal binds (reorder) — documented-equivalent candidate, prove or kill
[66] killed  run: the resume gate-1 re-check removed
[67] killed  run_twin: the tokenizer commit -> bn.REV_MAIN_2N
[68] killed  verdict_tree_2n: PYTHIA-ONLY and OLMO-ONLY swapped
[69] killed  verdict_2n: THIN threshold < 3 -> < 2
[70] killed  verdict_2n: the UNDERPOWERED disclosure condition inverted
[71] SURVIVED  verdict_2n: annotation not carried into the return
[72] killed  _licensed_2n: disclosures dropped
[73] SURVIVED  _licensed_2n: the annotation modifier dropped
[74] SURVIVED  _c_modifier_key_2n: covers/excludes swapped
[75] killed  load_power_2n: n_trained_steps check removed
[76] killed  load_power_2n: block_sd_A presence check removed
[77] killed  load_power_2n: predictor_sha256 check removed
